manifest_row_position,target_value,split_set,dataset_name
0,1.0,train,UCI
1,1.0,train,UCI
2,1.0,train,UCI
3,1.0,train,UCI
4,1.0,train,UCI
5,1.0,train,UCI
6,1.0,train,UCI
7,1.0,train,UCI
8,1.0,train,UCI
9,1.0,train,UCI
10,1.0,train,UCI
11,1.0,train,UCI
12,1.0,train,UCI
13,0.0,train,UCI
14,0.0,train,UCI
15,0.0,train,UCI
16,1.0,train,UCI
17,1.0,train,UCI
18,1.0,train,UCI
19,1.0,train,UCI
20,0.0,train,UCI
21,0.0,train,UCI
22,1.0,train,UCI
23,1.0,train,UCI
24,1.0,train,UCI
25,0.0,train,UCI
26,1.0,train,UCI
27,0.0,train,UCI
28,1.0,train,UCI
29,1.0,train,UCI
30,1.0,train,UCI
31,0.0,train,UCI
32,1.0,train,UCI
33,0.0,train,UCI
34,1.0,train,UCI
35,1.0,train,UCI
36,1.0,train,UCI
37,0.0,train,UCI
38,1.0,train,UCI
39,1.0,train,UCI
40,1.0,train,UCI
41,0.0,train,UCI
42,1.0,train,UCI
43,0.0,train,UCI
44,0.0,train,UCI
45,0.0,train,UCI
46,0.0,train,UCI
47,1.0,train,UCI
48,0.0,train,UCI
49,1.0,train,UCI
50,1.0,train,UCI
51,0.0,train,UCI
52,1.0,train,UCI
53,0.0,train,UCI
54,0.0,train,UCI
55,0.0,train,UCI
56,1.0,train,UCI
57,1.0,train,UCI
58,1.0,train,UCI
59,1.0,train,UCI
60,0.0,train,UCI
61,1.0,train,UCI
62,1.0,train,UCI
63,0.0,train,UCI
64,0.0,train,UCI
65,1.0,train,UCI
66,1.0,train,UCI
67,0.0,train,UCI
68,1.0,train,UCI
69,1.0,train,UCI
70,1.0,train,UCI
71,0.0,train,UCI
72,1.0,train,UCI
73,0.0,train,UCI
74,1.0,train,UCI
75,0.0,train,UCI
76,0.0,train,UCI
77,1.0,train,UCI
78,1.0,train,UCI
79,1.0,train,UCI
80,1.0,train,UCI
81,1.0,train,UCI
82,0.0,train,UCI
83,1.0,train,UCI
84,1.0,train,UCI
85,1.0,train,UCI
86,0.0,train,UCI
87,1.0,train,UCI
88,0.0,train,UCI
89,0.0,train,UCI
90,1.0,train,UCI
91,1.0,train,UCI
92,0.0,train,UCI
93,1.0,train,UCI
94,0.0,train,UCI
95,1.0,train,UCI
96,1.0,train,UCI
97,1.0,train,UCI
98,1.0,train,UCI
99,1.0,train,UCI
100,0.0,train,UCI
101,1.0,train,UCI
102,1.0,train,UCI
103,1.0,train,UCI
104,0.0,train,UCI
105,0.0,train,UCI
106,0.0,train,UCI
107,0.0,train,UCI
108,1.0,train,UCI
109,0.0,train,UCI
110,1.0,train,UCI
111,1.0,train,UCI
112,0.0,train,UCI
113,0.0,train,UCI
114,1.0,train,UCI
115,1.0,train,UCI
116,1.0,train,UCI
117,1.0,train,UCI
118,1.0,train,UCI
119,1.0,train,UCI
120,1.0,train,UCI
121,0.0,train,UCI
122,1.0,train,UCI
123,0.0,train,UCI
124,1.0,train,UCI
125,0.0,train,UCI
126,1.0,train,UCI
127,1.0,train,UCI
128,1.0,train,UCI
129,0.0,train,UCI
130,0.0,train,UCI
131,1.0,train,UCI
132,0.0,train,UCI
133,1.0,train,UCI
134,1.0,train,UCI
135,0.0,train,UCI
136,1.0,train,UCI
137,1.0,train,UCI
138,1.0,train,UCI
139,0.0,train,UCI
140,0.0,train,UCI
141,0.0,train,UCI
142,1.0,train,UCI
143,0.0,train,UCI
144,0.0,train,UCI
145,1.0,train,UCI
146,1.0,train,UCI
147,1.0,train,UCI
148,1.0,train,UCI
149,0.0,train,UCI
150,1.0,train,UCI
151,1.0,train,UCI
152,0.0,train,UCI
153,1.0,train,UCI
154,0.0,train,UCI
155,1.0,train,UCI
156,0.0,train,UCI
157,0.0,train,UCI
158,1.0,train,UCI
159,1.0,train,UCI
160,1.0,train,UCI
161,0.0,train,UCI
162,0.0,train,UCI
163,1.0,train,UCI
164,0.0,train,UCI
165,1.0,train,UCI
166,1.0,train,UCI
167,1.0,train,UCI
168,0.0,train,UCI
169,0.0,train,UCI
170,1.0,train,UCI
171,1.0,train,UCI
172,1.0,train,UCI
173,1.0,train,UCI
174,0.0,train,UCI
175,1.0,train,UCI
176,1.0,train,UCI
177,1.0,train,UCI
178,0.0,train,UCI
179,0.0,train,UCI
180,1.0,train,UCI
181,1.0,train,UCI
182,0.0,train,UCI
183,0.0,train,UCI
184,1.0,train,UCI
185,1.0,train,UCI
186,1.0,train,UCI
187,0.0,train,UCI
188,0.0,train,UCI
189,0.0,train,UCI
190,0.0,train,UCI
191,0.0,train,UCI
192,1.0,train,UCI
193,0.0,train,UCI
194,0.0,train,UCI
195,1.0,train,UCI
196,1.0,train,UCI
197,0.0,train,UCI
198,0.0,train,UCI
199,0.0,train,UCI
200,0.0,train,UCI
201,1.0,train,UCI
